"Hood_ID","Assault","Auto.Theft","Break.and.Enter","Robbery","Theft.Over","population.2016","lone.parent.families.perc","avg.income","low.income.pop.perc","non.citizens.perc","immigrants.recent.perc","refugees.perc","vis.minorities.perc","renters.perc","houses.perc","less.than.high.school.perc","high.school.cert.perc","post.sec.or.above.perc","unemployment.rate","youth.perc"
"1",0.0321205571565802,0.0355727665706052,0.0150096061479347,0.00918587896253602,0.00582372718539866,33312,22.178,31771,15.8,16.679,7.419,6.754,81.925,31.873,79.242,21.207,30.562,48.213,9.6,16.345
"2",0.0317715603568611,0.00658493657826061,0.00424834617952297,0.0115615706742732,0.000455179947806033,32954,29.391,26548,27.9,23.454,14.377,19.755,86.674,55.241,71.154,30.684,30.257,39.118,12.1,15.901
"3",0.0217181467181467,0.00598455598455598,0.0083011583011583,0.00888030888030888,0.000965250965250965,10360,24.777,32815,17.8,14.765,7.111,10.956,64.296,37.957,97.256,24.717,27.874,47.409,10.4,13.417
"4",0.0268781460727514,0.00788298983759141,0.00588849843289961,0.00702820780700921,0.000474878905879001,10529,27.036,34418,18.6,11.395,6.033,8.785,51.786,43.88,97.139,22.464,30.659,46.819,10.9,12.917
"5",0.0261209813874788,0.00623942470389171,0.00581641285956007,0.00824873096446701,0.000528764805414552,9456,34.369,32012,23.2,11.382,5.611,11.633,67.39,45.581,74.068,24.476,34.293,41.296,10,15.176
"6",0.0205,0.00845454545454545,0.00659090909090909,0.00404545454545455,0.000818181818181818,22000,29.882,36674,24.9,15.378,8.326,13.545,59.736,47.977,66.71,23.513,31.04,45.531,9.9,13.705
"7",0.0169254378046579,0.0079436721429861,0.00744719263404947,0.00609315760967684,0.000812421014623578,22156,21.694,44177,15,10.341,5.463,5.8,40.045,46.149,95.065,18.51,28.006,53.457,8.5,11.848
"8",0.0135184508586043,0.00995615637559372,0.00959079283887468,0.00374497625137011,0.00146145414687614,10948,24.486,45615,14.6,8.408,3.411,6.805,27.138,39.178,77.751,17.956,26.617,55.485,7.4,10.367
"9",0.0060508529127776,0.00553588670743482,0.0108142903121983,0.00122304473768909,0.000901190859349855,15535,19.064,101551,10.5,7.933,3.388,5.761,21.264,43.885,83.44,13.193,24.283,62.524,6.1,11.651
"10",0.00588182064971496,0.00669622658582934,0.00977287123337255,0.00325762374445752,0.00108587458148584,11051,12.254,99055,7.2,6.024,2.443,2.896,19.058,15.415,99.87,10.302,21.629,68.123,6,14.343
"11",0.0134495373359156,0.00597159457714655,0.00634818162255218,0.00387346675274371,0.000860770389498601,18588,19.45,47002,9.7,5.427,1.889,5.756,27.692,15.368,76.166,15.324,26.589,58.15,7.4,12.965
"12",0.00672730718211105,0.00397953382603752,0.00824332006822058,0.00236877013454614,0.00066325563767292,10554,16.013,62378,8.3,5.694,2.823,4.927,13.343,25.668,64.925,11.745,24.753,63.557,6.2,11.086
"13",0.0175557056043214,0.00422012153950034,0.00692099932478055,0.00168804861580013,0.000506414584740041,11848,25.505,38255,18.3,13.731,7.105,8.947,39.424,47.437,61.245,17.707,27.789,54.504,7.9,12.323
"14",0.0189013988399864,0.00925736381212328,0.00984874331854885,0.00395769361992494,0.00320709655407711,43965,19.103,52787,15.8,12.318,6.594,6.608,37.097,41.94,56.788,11.87,22.497,65.593,7.3,10.781
"15",0.0121885449250351,0.00701110991263078,0.0119728184661849,0.00701110991263078,0.00140222198252616,9271,10.093,144642,4.5,3.275,1.037,1.294,12.002,18.41,80.474,7.19,17.018,75.66,7.5,11.757
"16",0.0133727196519101,0.00463055367051216,0.00838289888627201,0.0024749510997565,0.00115763841762804,25051,16.596,64140,11.6,8.194,4.038,5.449,18.454,35.325,94.22,13.052,21.905,65.043,6.7,9.92
"17",0.02879519491226,0.0041514544812154,0.00665410434577788,0.00197267695206689,0.00164880461665293,33964,18.197,54438,18.2,12.2,5.686,6.006,31.207,48.539,47.413,11.964,21.481,66.538,6.2,8.848
"18",0.0344586931867748,0.0041001483032365,0.0122132077117683,0.00724068742911978,0.00122132077117683,11463,26.99,44101,24.8,10.545,4.429,7.502,32.019,56.558,89.488,16.632,25.878,57.49,8.7,12.126
"19",0.0236017453391511,0.00466084886949623,0.0103133677112257,0.00396667988893296,0.000793335977786593,10084,22.078,47384,17.6,8.544,3.728,5.553,22.89,53.423,84.304,15.12,26.804,57.961,7.1,11.156
"20",0.0125269620043139,0.00489464078314253,0.0079641612742658,0.00232288037166086,0.00223992035838726,12054,19.054,47709,8.2,4.988,1.663,3.858,20.707,20.585,95.991,19.532,28.836,51.632,6.1,10.287
"21",0.0430090206185567,0.0219877577319588,0.0165109536082474,0.0110341494845361,0.00539626288659794,12416,23.665,30731,19.7,15.068,7.01,11.034,65.619,29.91,90.513,34.081,29.157,36.763,9.6,13.893
"22",0.0259890640077195,0.00984239305242843,0.00566098423930524,0.00508201994210357,0.00115792859440335,15545,30.877,29528,22.7,19.086,10.01,13.541,77.052,47.525,87.24,28.884,30.393,40.644,10.2,14.249
"23",0.0178138407013617,0.0118448050736803,0.00969968289498228,0.00671516508114158,0.00177205745196792,10722,21.895,39003,11.4,8.217,3.408,7.694,43.61,17.385,85.33,24.624,29.359,46.017,6,12.731
"24",0.0483507383723605,0.00906288816303998,0.00519850945392648,0.00970695128122556,0.00193218935455675,21737,41.91,25989,33,18.696,9.483,18.471,80.849,66.621,82.799,37.843,30.622,31.565,12.7,15.112
"25",0.0343380013774556,0.00590338132563707,0.00446033255714801,0.00577219507395625,0.000852710635925355,30491,40.509,27984,25.7,14.567,6.206,12.233,76.647,48.537,88.048,39.14,29.437,31.341,11.5,14.824
"26",0.0395697820381148,0.00967134542964738,0.00767431245007418,0.00656167979002625,0.00156909734109323,35052,28.638,34168,19.4,18.017,8.986,8.644,57.326,52.229,89.528,29.347,28.579,42.04,7.9,12.41
"27",0.0455912731489871,0.0151125285398471,0.0151850106911173,0.0103287065560106,0.00521871489145798,27593,29.643,29958,24.4,21.948,10.339,10.383,69.405,54.72,71.78,21.79,29.677,48.554,10.7,17.269
"28",0.0343023840659893,0.00663917110954632,0.00945578915602052,0.00663917110954632,0.000402374006639171,9941,41.971,31800,31.7,11.276,5.228,10.009,59.559,62.14,97.945,32.609,30.946,36.445,9.1,14.033
"29",0.0177034912471566,0.00642864207298981,0.00642864207298981,0.00395608742953219,0.00108792404312135,10111,22.898,37108,15.2,17.334,9.635,4.253,43.588,43.882,96.348,28.614,28.435,42.891,8.1,12.462
"30",0.0192600101368474,0.00574421354958608,0.00619474010249479,0.00433631807174635,0.00107000056315819,17757,35.198,32483,24.7,17.368,8.333,10.306,65.688,59.522,89.129,29.777,28.94,41.318,10,13.938
"31",0.0386382058902999,0.0141178059983788,0.0155363415293164,0.00675493109970278,0.00587679005674142,14804,25.573,38527,16.8,13.298,6.094,5.573,45.189,38.296,73.084,28.554,28.056,43.431,8,12.632
"32",0.0151081709279456,0.00429107813338101,0.00697300196674414,0.00424637940282496,0.000759878419452888,22372,27.212,48134,21.3,15.996,9.365,4.403,40.471,58.156,78.519,15.662,25.41,59.016,8.9,13.566
"33",0.0124453618261292,0.0104419621175328,0.0095313258863526,0.00188198154443905,0.00103205439533754,16472,18.621,51181,14.9,15.804,8.191,2.55,38.398,45.884,75.744,12.706,23.764,63.493,6.1,11.656
"34",0.0184590184590185,0.00768600768600769,0.011025011025011,0.00296100296100296,0.00182700182700183,15873,20.302,45936,17,15.469,9.567,5.513,34.788,45.977,84.236,12.552,25.556,61.817,7.2,12.191
"35",0.0128644287127959,0.00338737915810307,0.00692700007612088,0.00133211539925402,0.000647027479637665,26274,23.682,32724,24.4,24.919,16.963,7.802,44.851,60.323,71.82,12.082,24.384,63.512,9.2,12.769
"36",0.0172464437077756,0.00356678276194872,0.00851831647853636,0.00331500986110528,0.00092316730309261,23831,20.69,34904,26.3,26.703,15.492,5.728,58.531,47.433,75.781,11.762,26.476,61.762,8.4,13.952
"37",0.0139938592347662,0.00247992442135097,0.00590458195559754,0.00153519130845536,0.000590458195559754,16936,14.366,44576,27.1,23.635,10.048,2.716,57.768,36.442,48.645,9.455,21.131,69.415,9.8,13.138
"38",0.0130536995793121,0.00513486760702796,0.00940361296708736,0.00197970799307102,0.00123731749566939,16164,15.657,72371,17.6,19.197,9.15,2.877,43.137,41.61,61.002,7.692,20.073,72.161,7.2,13.054
"39",0.00946806679290756,0.00701497676019969,0.0170425202272336,0.00266827336891031,0.00202272336030298,23236,13.065,123077,9.4,9.714,5.452,1.657,20.96,30.139,86.237,10.695,20.555,68.777,5.5,13.815
"40",0.0125196496743768,0.00432292836290141,0.0186952616213788,0.00241410285200988,0.00269481248596452,17812,17.073,100516,15.9,14.791,7.921,3.032,50.58,33.281,81.726,9.574,20.844,69.581,8.3,14.288
"41",0.00928124325491043,0.00323764299589899,0.0197496222749838,0.000647528599179797,0.00183466436434276,9266,10.985,308010,8.8,8.547,3.593,0.917,30.103,9.105,70.679,7.941,19.367,72.757,8,15.325
"42",0.0115905398086297,0.00209424083769634,0.00927965336703376,0.00227477884094602,0.0013720888246976,27695,16.371,67757,13.7,10.741,5.556,3.791,47.046,39.035,63.216,9.812,22.018,68.192,7.2,9.839
"43",0.0158766419189035,0.00239862935465448,0.005653912050257,0.0019988577955454,0.0010850942318675,17510,27.97,35786,25.9,14.46,9.866,10.879,59.092,58.625,79.068,20.137,25.979,53.883,10.1,11.679
"44",0.0259426435052204,0.00145898873843068,0.00442255961336798,0.00410340582683627,0.000866274563443213,21933,23.776,28654,34.7,21.538,12.751,14.111,78.576,55.364,47.543,21.814,27.659,50.642,10.6,13.974
"45",0.0176124120097687,0.00393621606091079,0.00689556098261744,0.00287315040942393,0.000689556098261744,34805,26.474,42516,20.6,13.852,8.033,8.418,54.924,60.255,88.589,14.33,26.514,59.138,9.2,13.461
"46",0.0102414970287015,0.00278164116828929,0.00480465292704514,0.00221266911113921,0.000821848526994563,15818,18.51,36346,17.5,20.595,8.352,4.678,64.252,24.275,79.329,17.115,25.4,57.485,10,13.118
"47",0.0192229492440206,0.00476877010092048,0.00839155668921666,0.00414032752948135,0.00121991793279361,27051,19.266,37379,23.5,24.422,14.115,8.465,70.923,48.896,71.5,11.001,22.925,66.03,9.6,12.051
"48",0.013464036848943,0.00442895948978387,0.00832644384079367,0.00366127317822133,0.000826739104759655,16934,18.87,40442,21.9,17.317,6.649,4.222,75.584,23.552,66.901,12.597,22.965,64.471,8.3,12.755
"49",0.0105671278698495,0.00410521514368253,0.00965485783792002,0.000836247529268664,0.000684202523947088,13154,18.182,47246,18.4,16.509,8.448,3.155,65.192,42.234,90.638,11.609,21.381,66.965,8,12.392
"50",0.0329253898241908,0.00683357147294527,0.0142883767161583,0.00521836367024912,0.00273342858917811,16097,16.432,45212,27.4,24.911,11.941,4.659,72.215,35.27,61.457,10.645,21.541,67.814,8.8,13.636
"51",0.0142760835944006,0.00277590514335567,0.00682079549510251,0.00295435618828568,0.00120950152674783,50434,17,45326,30.3,30.054,14.733,2.786,75.047,38.148,26.759,7.016,19.355,73.652,8.5,13.741
"52",0.0163581977939802,0.00359880351467564,0.00747803327724808,0.00149560665544962,0.00135539353150122,21396,16.804,52035,23.7,23.279,11.921,3.459,68.614,41.238,39.454,6.996,19.653,73.378,7.7,11.661
"53",0.0132290275392737,0.00273484703936908,0.00591490173630986,0.00101761750302105,0.000954016409082236,15723,18.607,36359,29.6,36.167,18.676,8.968,76.551,63.1,49.175,9.16,20.931,69.871,10.3,14.819
"54",0.0281659973226238,0.00224899598393574,0.00717536813922356,0.00364123159303882,0.00123159303882195,18675,24.675,43907,22.5,12.571,6.73,6.185,37.703,53.65,95.78,18.87,27.541,53.589,10.1,12.691
"55",0.0175762743983324,0.00180026530225507,0.00506916808792875,0.0022740193291643,0.00170551449687322,21108,17.211,28875,45.5,26.991,18.623,12.412,79.132,88.912,84.081,20.958,26.337,52.706,12.6,11.654
"56",0.009270263845971,0.00178274304730212,0.00820061801758973,0.00225814119324935,0.00130734490135488,16828,13.268,125564,6.9,5.017,2.133,1.099,17.644,27.972,92.857,8.418,17.583,73.924,6.9,12.895
"57",0.0125228280720063,0.00130446125750065,0.00539177319766936,0.00173928167666754,0.000347856335333507,11499,21.939,44557,22.6,12.362,6.002,7.001,27.67,68.049,90.468,16.861,23.241,59.949,8.2,9.088
"58",0.0313007689808296,0.00238275750027077,0.0100725657965992,0.00444059352323189,0.00140799306834182,9233,18.835,53315,13.5,6.352,3.471,3.466,26.819,34.828,99.472,17.324,24.952,57.789,5,9.964
"59",0.0112922002328289,0.00174621653084983,0.00570430733410943,0.00139697322467986,0.000291036088474971,17180,17.32,51846,13.6,6.325,2.4,2.561,29.801,29.324,97.721,17.787,21.665,60.548,6.9,8.382
"60",0.0242848061029879,0.00152574698029243,0.0122059758423395,0.00432294977749523,0.00152574698029243,7865,19.545,47710,15.2,6.238,1.656,2.988,31.019,31.739,97.681,15.172,26.308,58.595,6.6,8.519
"61",0.0240387680928394,0.00223171587068801,0.0099470764522094,0.00554740802142447,0.000637633105910859,15683,21.921,30430,32.9,23.636,16.145,7.652,66.871,67.225,77.352,16.201,24.461,59.377,11.5,10.744
"62",0.034750479397596,0.00397549225948272,0.0159019690379309,0.0068284925868762,0.00163696740096347,21381,21.385,54324,18.8,9.519,4.783,2.993,30.819,45.643,95.588,13.241,22.637,64.094,8.2,10.36
"63",0.0160893958362313,0.00213288820883758,0.00792878008067881,0.00421940928270042,0.00106644410441879,21567,15.093,92580,9.4,5.502,1.842,0.835,13.896,37.54,87.811,8.255,19.404,72.34,5.7,9.691
"64",0.0241607527310422,0.0019137229885974,0.0101267841479946,0.00326927677218723,0.00079738457858225,12541,19.679,55199,15.8,6.237,2.132,1.555,27.181,41.705,94.225,14.144,20.425,65.48,7.7,8.333
"65",0.0262190469584518,0.00402302836928626,0.0115835472012208,0.00388430325310397,0.00173406395227856,14417,21.548,46206,19.7,6.606,2.33,3.433,39.117,40.545,97.934,16.436,22.725,60.839,7.2,9.052
"66",0.0546244568590937,0.00475894889302711,0.0201738050900062,0.0131388371611835,0.00237947444651355,9666,16.016,55225,14.2,7.035,2.45,1.5,25.847,35.623,98.473,18.113,21.006,60.881,6.2,9.466
"67",0.0392106611993849,0.0039723218862122,0.0199897488467453,0.0079446437724244,0.00140953357252691,7804,13.953,70831,13.6,7.26,3.076,1.41,20.419,53.631,98.741,9.784,18.336,71.803,6.4,9.29
"68",0.0130077207116482,0.00218194024840551,0.0105740181268882,0.00864384021483719,0.00100704934541793,11916,15.605,73253,10.9,5.57,1.627,1.804,24.101,44.012,97.902,10.683,19.004,70.313,5.3,9.819
"69",0.0270480134592986,0.00207066131745826,0.0090591432638799,0.00569431862301022,0.000388248997023424,7727,25.537,48511,24.5,6.116,2.733,4.918,38.517,45.847,97.444,18.725,21.434,59.92,8.5,11.453
